SMILES,dataset,len_smiles,mean_complexity,sa_score,sc_score,tb_depth,tb_plausibility,tb_price,tb_synthesizability
O1[C@@]23[C@@]4(O)[C@@]5([C@@]1(O)C[C@@]([C@]4(O)[C@@H](OC(=O)c1[nH]ccc1)[C@]5(O)C(C)C)([C@@]2(O)CC[C@@H]([C@H]3O)C)C)C,sheridan,119,4.818181818,7.2321,3.9534,11,0.0,-1.0,Unsynthesizable
O[C@@H](C(C[C@@H](N(C)C)C)(c1ccccc1)c1ccccc1)CC,sheridan,47,1.9756097559999999,3.1636,2.8760000000000003,1,0.8288233280181885,29.0,Synthesizable
O(C(=O)NC[C@@H]1C[C@H]2[C@H]([N@@](C1)C)Cc1c3c2cccc3n(c1)C)Cc1ccccc1,sheridan,68,3.791666667,3.4925,4.1585,11,0.0,-1.0,Unsynthesizable
O1[C@H]2[C@H](O[C@H]3O[C@@H](CC(=O)[C@]13O)C)[C@@H](O)[C@H](NC)[C@@H](O)[C@@H]2NC,sheridan,81,4.279069767,5.1299,3.5503,11,0.0,-1.0,Unsynthesizable
F[C@]12[C@H]([C@H]3[C@@]([C@](O)(CC3)C(=O)CO)(C[C@@H]2O)C)CCC=2[C@@]1(CCC(=O)C2)C,sheridan,81,4.0,4.5188,2.9354,11,0.0,-1.0,Unsynthesizable
O([C@H]1[C@H](O[C@H]2O[C@@H]([C@H](O)[C@H]2O)CO)[C@@H](O)[C@H](N)C[C@@H]1N)[C@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@H]1N)CN,sheridan,117,4.3684210530000005,4.9678,3.9365,11,-1.0,-1.0,Unsynthesizable
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,sheridan,46,2.108108108,2.4204,4.0977,0,1.0,27.0,Synthesizable
O([C@@]12[C@@H](C1(C)C)[C@H]1[C@](O)([C@@H]([C@H]2OC(=O)CCC)C)[C@H]2[C@](O)(CC(=C1)CO)C(=O)C(=C2)C)C(=O)CCC,sheridan,107,4.848484848,5.0754,3.7139,11,0.0,-1.0,Unsynthesizable
Cl\C(Cl)=C\[C@@H]1C([C@@H]1C(OCc1cc(Oc2ccccc2)ccc1)=O)(C)C,sheridan,58,2.930232558,3.0409,2.9362,1,0.9835025668144226,52.0,Synthesizable
O1[C@@H]([C@@H](O)[C@@H](O[C@H](C)C(=O)N[C@H](C(=O)N[C@H](CCC(O)=O)C(=O)N)C)[C@@H](NC(=O)C)[C@@H]1O)CO,sheridan,102,4.048780488,4.2367,4.7456,11,0.0,-1.0,Unsynthesizable
O1Cc2c([C@@](O)(CC)C1=O)cc1n(Cc3c1nc1c(c3)c(CN(C)C)c(O)cc1)c2=O,sheridan,63,3.833333333,3.4810000000000003,4.229,11,0.0,-1.0,Unsynthesizable
O(C(=O)C1(N(c2ccccc2)C(=O)CC)CCN(CC1)CCc1ccccc1)C,sheridan,49,2.3783783780000003,2.4027,3.5854,11,0.0,-1.0,Unsynthesizable
Cc1onc(c2ccccc2)c1c1ccc(cc1)S(=O)(=O)N,sheridan,38,1.763157895,1.9518,3.3411,1,0.8999007344245911,45.0,Synthesizable
Cc1c(c(no1)c1c(cccc1Cl)Cl)C(N[C@@H]1C(N2[C@@H]1SC(C)(C)[C@@H]2C(O)=O)=O)=O,sheridan,74,4.0434782610000015,3.6656,3.4663,0,1.0,53.0,Synthesizable
CN(C)CCO[C@@H](c1ccccc1)c1ccccc1C,sheridan,33,1.225,2.3802,3.0021,0,1.0,10.0,Synthesizable
CC(C)[C@@H](C(N[C@@H](Cc1ccccc1)C[C@@H]([C@H](Cc1ccccc1)NC(=O)OCc1cncs1)O)=O)NC(N(C)Cc1csc(C(C)C)n1)=O,sheridan,102,3.72972973,4.1902,4.3985,11,0.0,-1.0,Unsynthesizable
c1([C@@](c2ccccc2)(CC)O)cc(ccc1)C(F)(F)F,sheridan,40,2.25,2.4887,2.1904,1,0.999516487121582,9.0,Synthesizable
O[C@@H]1C[C@H]2[C@@]([C@@H]3[C@H]([C@H]4[C@@](CC3)([C@H](CC4)C(=O)C)C)CC2)(CC1)C,sheridan,80,3.365853659,4.0539,2.6119,1,0.9486697912216188,64.0,Synthesizable
O=C(N1CCCC1)C([C@@H](CN1CCOCC1)C)(c1ccccc1)c1ccccc1,sheridan,51,2.68,2.8776,3.0167,11,0.0,-1.0,Unsynthesizable
Clc1ccc2N(CC3CC3)C(=O)CN=C(c3ccccc3)c2c1,sheridan,40,2.441860465,2.2675,3.5563,1,0.999696969985962,29.0,Synthesizable
n1(c(cnc1)[N+](=O)[O-])CCN1CCOCC1,sheridan,33,1.648648649,2.5991,2.6609,1,0.5436425805091858,2.0,Synthesizable
O([C@H]1[C@@]2([C@@H]3[C@H]([C@H]4[C@@](CC3)([C@@](OC(=O)CC)(CC4)C#C)C)CC[C@H]2C[C@@H]1C#C)C)C(=O)CC,sheridan,100,4.325,5.131,3.7884,11,0.0,-1.0,Unsynthesizable
O[C@H](C[C@H]1N([C@H](CCC1)CC(=O)c1ccccc1)C)c1ccccc1,sheridan,52,2.583333333,3.1094,2.9989999999999997,11,0.0,-1.0,Unsynthesizable
C1[C@@H]2[C@@H]([C@@]3([C@@H](Cc4nn(cc4C3)S(C)(=O)=O)C1)C)CC[C@]1([C@H]2CC[C@]1(C#C)O)C,sheridan,87,4.32,4.8123,3.8519,11,0.0,-1.0,Unsynthesizable
NS(=O)(=O)c1cc2c(N[C@@H](NS2(=O)=O)C(Cl)Cl)cc1Cl,sheridan,48,2.864864865,3.8831,3.4928,0,1.0,4.0,Synthesizable
O=C1[C@@]2([C@H]([C@H]3[C@@H]([C@@]4(C(=CC3)C[C@H](O)CC4)C)CC2)CC1)C,sheridan,68,3.6976744189999997,3.9586,1.8935,0,1.0,9.0,Synthesizable
c12c(n(CCC(O)=O)c3c1cccc3)CC[C@H](C2)NS(c1ccc(F)cc1)(=O)=O,sheridan,58,2.9347826089999995,2.7815,4.4043,4,0.9845579477829872,66.0,Synthesizable
