,0,1,2,3,4,5,6,7,8,9,10,11
chembl,0.009333333333333334,0.126,0.13033333333333333,0.107,0.09566666666666666,0.06733333333333333,0.050666666666666665,0.04133333333333333,0.02666666666666667,0.017666666666666667,0.010666666666666666,0.31733333333333336
char_rnn,0.006666666666666667,0.09666666666666666,0.11333333333333333,0.1,0.09333333333333334,0.056666666666666664,0.05333333333333334,0.04666666666666667,0.016666666666666666,0.013333333333333334,0.006666666666666667,0.39666666666666667
aae,0.0033333333333333335,0.14333333333333334,0.09,0.10666666666666667,0.07333333333333333,0.06333333333333334,0.07,0.03666666666666667,0.02,0.016666666666666666,0.02,0.3566666666666667
vae,0.0033333333333333335,0.10666666666666667,0.13,0.08333333333333333,0.08,0.06333333333333334,0.056666666666666664,0.016666666666666666,0.03,0.02666666666666667,0.0033333333333333335,0.4
