,0,1,2,3,4,5,6,7,8,9,10,11
moses,0.0003333333333333333,0.20833333333333334,0.22433333333333333,0.184,0.10666666666666667,0.071,0.042,0.029666666666666668,0.014,0.012333333333333333,0.005,0.10233333333333333
char_rnn,0.0033333333333333335,0.23,0.20333333333333334,0.18,0.11333333333333333,0.07,0.043333333333333335,0.023333333333333334,0.013333333333333334,0.006666666666666667,0.006666666666666667,0.10666666666666667
aae,0.0,0.22333333333333333,0.22666666666666666,0.13,0.08333333333333333,0.06666666666666667,0.02666666666666667,0.016666666666666666,0.013333333333333334,0.0,0.0033333333333333335,0.21
vae,0.0,0.23666666666666666,0.23333333333333334,0.18333333333333332,0.11,0.05,0.023333333333333334,0.013333333333333334,0.0033333333333333335,0.013333333333333334,0.0033333333333333335,0.13
