,0,1,2,3,4,5,6,7,8,9,10,11
moses,0.0003333333333333333,0.20833333333333334,0.22433333333333333,0.184,0.10666666666666667,0.071,0.042,0.029666666666666668,0.014,0.012333333333333333,0.005,0.10233333333333333
chembl,0.009333333333333334,0.126,0.13033333333333333,0.107,0.09566666666666666,0.06733333333333333,0.050666666666666665,0.04133333333333333,0.02666666666666667,0.017666666666666667,0.010666666666666666,0.31733333333333336
zinc,0.0023333333333333335,0.12666666666666668,0.15133333333333332,0.12433333333333334,0.08,0.04633333333333333,0.036,0.018333333333333333,0.011333333333333334,0.01,0.006666666666666667,0.38666666666666666
sheridan,0.04566473988439306,0.05838150289017341,0.08034682080924856,0.07861271676300578,0.06994219653179191,0.06127167630057803,0.05838150289017341,0.04277456647398844,0.027745664739884393,0.02601156069364162,0.017919075144508672,0.4329479768786127
gdb,0.0,0.0,0.0016666666666666668,0.0023333333333333335,0.006333333333333333,0.004,0.005,0.006333333333333333,0.005,0.0026666666666666666,0.001,0.9656666666666667
